CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Avg_Open_To_Buy,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
768800000,Existing Customer,64.0,F,5.0,Doctorate,Unknown,Less than $40K,Silver,43.0,2.0,6.0,4.0,33568.6,2160.0,2.435,8526.0,129.0,0.807,0.171,31408.6,0.982968,0.017032
768800001,Existing Customer,61.0,M,0.0,High School,Divorced,$80K - $120K,Platinum,36.0,1.0,1.0,5.0,19730.6,213.0,1.214,848.0,35.0,2.453,0.507,19517.6,0.865398,0.134602
768800002,Attrited Customer,52.0,M,2.0,Doctorate,Unknown,$40K - $60K,Blue,56.0,4.0,0.0,4.0,10399.5,1874.0,2.896,12609.0,42.0,2.837,0.113,8525.5,0.113835,0.886165
768800003,Existing Customer,68.0,M,2.0,High School,Unknown,$40K - $60K,Silver,46.0,5.0,5.0,4.0,17612.3,1288.0,0.819,8689.0,78.0,0.617,0.626,16324.3,0.975493,0.024507
768800004,Existing Customer,32.0,F,4.0,High School,Divorced,Less than $40K,Platinum,13.0,5.0,3.0,3.0,2672.1,1907.0,1.831,14378.0,13.0,0.162,0.875,765.1,0.954599,0.045401
768800005,Attrited Customer,70.0,M,0.0,High School,Single,$120K +,Platinum,29.0,6.0,5.0,1.0,28032.8,1134.0,0.626,11619.0,57.0,1.626,0.363,26898.8,0.099734,0.900266
768800006,Existing Customer,66.0,F,2.0,Uneducated,Divorced,$120K +,Silver,25.0,3.0,0.0,1.0,4793.3,398.0,1.684,14660.0,35.0,2.864,0.168,4395.3,0.988558,0.011442
768800007,Existing Customer,50.0,M,0.0,College,Single,$120K +,Gold,38.0,5.0,0.0,5.0,11650.8,1891.0,0.518,8785.0,72.0,2.408,0.4,9759.8,0.809329,0.190671
768800008,Existing Customer,61.0,F,4.0,Uneducated,Divorced,Less than $40K,Blue,24.0,5.0,3.0,0.0,20137.5,1589.0,0.549,652.0,115.0,2.597,0.786,18548.5,0.917752,0.082248
768800009,Existing Customer,50.0,F,3.0,High School,Unknown,$40K - $60K,Blue,55.0,2.0,6.0,0.0,2859.5,1169.0,2.082,2858.0,130.0,1.491,0.591,1690.5,0.915071,0.084929
