TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,dist2,P_emaildomain,R_emaildomain,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,M1,M2,M3,M4,M5,M6,M7,M8,M9,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
2987000,0,105789,49.12,S,1794.0,164.0,185.0,visa,183.0,credit,389.0,87.0,2.5308537,209.80388,gmail.com,hotmail.com,18.0,5.0,29.0,3.0,30.0,16.0,20.0,10.0,13.0,4.0,7.0,18.0,14.0,22.0,588.0,42.0,481.0,544.0,561.0,99.0,371.0,577.0,110.0,312.0,3.0,286.0,176.0,548.0,271.0,T,T,T,T,T,F,T,F,T,3.0,6.0,0.0,6.0,7.0,4.0,0.0,0.0,4.0,6.0,3.0,3.0,7.0,6.0,6.0,7.0,2.0,7.0,0.0,6.0,1.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,3.0,1.0,5.0,6.0,2.0,4.0,5.0,5.0,6.0,3.0,2.0,3.0
2987001,0,110536,188.83,H,13816.0,170.0,150.0,american express,231.0,credit,359.0,87.0,40.803776,,gmail.com,gmail.com,19.0,9.0,13.0,38.0,32.0,18.0,28.0,35.0,14.0,26.0,14.0,37.0,28.0,6.0,445.0,109.0,531.0,66.0,243.0,591.0,142.0,8.0,183.0,555.0,562.0,578.0,500.0,505.0,429.0,T,F,T,F,F,F,T,T,F,7.0,6.0,6.0,3.0,5.0,2.0,,7.0,2.0,7.0,5.0,3.0,5.0,7.0,6.0,0.0,3.0,5.0,3.0,4.0,0.0,0.0,1.0,7.0,6.0,0.0,5.0,4.0,7.0,5.0,4.0,3.0,0.0,2.0,4.0,1.0,2.0,7.0,6.0,2.0
2987002,0,112514,4.44,W,9523.0,231.0,150.0,american express,192.0,credit,335.0,87.0,29.841946,,yahoo.com,gmail.com,32.0,8.0,25.0,26.0,4.0,31.0,36.0,7.0,31.0,0.0,8.0,26.0,0.0,0.0,567.0,343.0,,129.0,63.0,523.0,500.0,123.0,35.0,149.0,167.0,177.0,165.0,390.0,597.0,F,T,T,F,F,F,F,F,F,3.0,2.0,1.0,2.0,7.0,3.0,,4.0,5.0,4.0,4.0,7.0,5.0,0.0,3.0,5.0,0.0,1.0,4.0,2.0,6.0,3.0,3.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,6.0,1.0,7.0,3.0,3.0,0.0,1.0,3.0
2987003,0,157163,10.52,S,8998.0,586.0,150.0,american express,231.0,credit,148.0,87.0,1.5429626,,gmail.com,gmail.com,0.0,6.0,17.0,21.0,27.0,0.0,37.0,9.0,13.0,7.0,10.0,15.0,20.0,16.0,569.0,4.0,513.0,,519.0,572.0,72.0,299.0,452.0,284.0,489.0,196.0,216.0,29.0,375.0,F,F,F,T,T,F,F,F,F,3.0,7.0,6.0,6.0,0.0,4.0,,3.0,2.0,3.0,4.0,6.0,1.0,1.0,0.0,7.0,2.0,5.0,7.0,2.0,6.0,5.0,5.0,0.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,5.0,6.0,7.0,3.0,5.0,2.0,0.0,2.0
2987004,0,160503,19.78,H,10264.0,184.0,150.0,mastercard,107.0,credit,245.0,87.0,13.0465765,169.33284,gmail.com,yahoo.com,30.0,7.0,21.0,0.0,13.0,30.0,34.0,6.0,2.0,16.0,5.0,8.0,34.0,23.0,65.0,172.0,105.0,424.0,481.0,166.0,173.0,203.0,327.0,488.0,576.0,22.0,510.0,200.0,576.0,F,F,T,T,T,T,T,F,F,3.0,7.0,4.0,0.0,4.0,4.0,5.0,6.0,5.0,6.0,0.0,5.0,4.0,6.0,4.0,5.0,1.0,5.0,5.0,4.0,3.0,1.0,0.0,4.0,4.0,2.0,1.0,6.0,1.0,5.0,6.0,2.0,4.0,3.0,7.0,5.0,7.0,5.0,4.0,2.0
2987005,1,201417,272.41,R,4749.0,551.0,150.0,visa,174.0,credit,134.0,87.0,50.761467,36.37526,gmail.com,hotmail.com,10.0,12.0,34.0,23.0,5.0,31.0,36.0,36.0,28.0,3.0,33.0,25.0,7.0,33.0,275.0,188.0,198.0,218.0,422.0,265.0,21.0,374.0,507.0,96.0,313.0,443.0,98.0,256.0,391.0,F,T,T,T,T,F,T,T,F,4.0,4.0,7.0,0.0,5.0,1.0,7.0,1.0,2.0,2.0,3.0,1.0,7.0,2.0,2.0,4.0,7.0,5.0,5.0,5.0,4.0,5.0,7.0,7.0,3.0,7.0,7.0,7.0,0.0,0.0,6.0,2.0,1.0,4.0,0.0,1.0,6.0,6.0,4.0,5.0
2987006,0,214159,74.5,W,11404.0,,150.0,discover,209.0,credit,433.0,87.0,4.89353,40.447575,anonymous.com,hotmail.com,37.0,22.0,15.0,17.0,6.0,32.0,37.0,28.0,26.0,18.0,31.0,10.0,32.0,35.0,446.0,582.0,,,50.0,294.0,509.0,216.0,517.0,556.0,556.0,44.0,398.0,427.0,508.0,T,F,F,F,F,T,T,T,F,2.0,5.0,7.0,0.0,0.0,3.0,1.0,0.0,7.0,3.0,6.0,4.0,0.0,5.0,4.0,2.0,0.0,7.0,2.0,1.0,1.0,4.0,7.0,7.0,3.0,5.0,6.0,3.0,3.0,5.0,4.0,3.0,5.0,2.0,0.0,5.0,3.0,1.0,4.0,3.0
2987007,0,220795,126.98,S,13966.0,560.0,185.0,mastercard,189.0,credit,430.0,87.0,18.542643,180.46098,hotmail.com,yahoo.com,38.0,15.0,26.0,23.0,4.0,39.0,39.0,20.0,23.0,9.0,5.0,39.0,16.0,18.0,5.0,584.0,,364.0,49.0,314.0,26.0,395.0,208.0,463.0,581.0,171.0,330.0,508.0,105.0,T,F,F,T,F,T,T,F,F,6.0,7.0,6.0,4.0,4.0,4.0,1.0,2.0,5.0,7.0,4.0,0.0,1.0,2.0,1.0,2.0,2.0,4.0,7.0,3.0,0.0,4.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,7.0,0.0,2.0,2.0,3.0,6.0,2.0,6.0,0.0,1.0
2987008,0,255089,15.58,R,7084.0,,150.0,american express,223.0,debit,213.0,87.0,51.355965,,hotmail.com,gmail.com,20.0,16.0,37.0,1.0,35.0,31.0,25.0,26.0,5.0,3.0,21.0,19.0,34.0,16.0,271.0,507.0,,,131.0,16.0,327.0,63.0,490.0,406.0,86.0,546.0,590.0,384.0,33.0,F,T,T,F,T,T,F,T,F,3.0,1.0,3.0,0.0,0.0,6.0,,1.0,4.0,3.0,6.0,2.0,5.0,1.0,6.0,4.0,3.0,0.0,2.0,3.0,4.0,0.0,0.0,6.0,5.0,4.0,1.0,2.0,2.0,0.0,1.0,4.0,1.0,4.0,5.0,4.0,2.0,3.0,1.0,3.0
2987009,0,305088,15.93,W,3282.0,,150.0,discover,164.0,credit,228.0,87.0,5.5420403,13.590769,aol.com,yahoo.com,12.0,9.0,30.0,22.0,30.0,21.0,5.0,10.0,25.0,38.0,25.0,22.0,25.0,37.0,412.0,205.0,335.0,,95.0,358.0,114.0,199.0,36.0,145.0,87.0,366.0,293.0,217.0,401.0,T,F,T,T,F,T,T,T,F,3.0,0.0,3.0,4.0,7.0,6.0,,6.0,3.0,7.0,5.0,5.0,0.0,4.0,5.0,7.0,7.0,6.0,2.0,2.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,6.0,5.0,1.0,3.0,6.0,2.0,2.0,1.0,5.0,0.0,6.0,2.0,7.0
