loan_status,issue_d,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,fico_range_high
Charged Off,Aug-2012,21500.0,35500.0, 60 months,22.5,1268.82,B,G4,< 1 year,MORTGAGE,72319.41,Source Verified,other,NY,9.4,1.0,Sep-2003,730.0,0.0,91.0,29.0,1.0,53039.54,35.1,32.0,Individual,4.0,1.0,734.0
Current,Apr-2017,11000.0,3000.0, 36 months,29.89,686.19,A,B5,10+ years,OWN,54105.68,Not Verified,home_improvement,TX,21.27,0.0,Aug-1991,800.0,5.0,94.0,3.0,0.0,49600.03,94.2,24.0,Individual,2.0,0.0,804.0
Fully Paid,Jun-2016,10000.0,16500.0, 60 months,14.8,1430.87,E,A4,3 years,MORTGAGE,23174.98,Not Verified,other,IL,8.17,2.0,Dec-1994,835.0,2.0,1.0,9.0,2.0,32801.05,25.5,6.0,Individual,0.0,1.0,839.0
Fully Paid,Dec-2014,13500.0,19000.0, 36 months,16.18,986.67,E,F3,3 years,OWN,60218.29,Not Verified,home_improvement,TX,29.05,2.0,Apr-2008,790.0,0.0,17.0,18.0,2.0,1344.33,28.1,8.0,Joint App,0.0,1.0,794.0
Fully Paid,Dec-2014,24500.0,32500.0, 36 months,26.09,200.37,F,D3,3 years,OWN,30935.53,Source Verified,other,TX,7.88,0.0,Nov-1996,830.0,3.0,93.0,18.0,1.0,33745.78,63.5,46.0,Joint App,4.0,0.0,834.0
Current,Nov-2017,10500.0,6000.0, 36 months,18.25,1331.09,G,F2,1 year,RENT,21149.44,Verified,other,IL,11.65,1.0,Dec-2004,660.0,0.0,21.0,27.0,0.0,3275.34,0.4,50.0,Joint App,1.0,1.0,664.0
Current,Aug-2012,37000.0,18000.0, 36 months,24.16,749.22,D,A2,10+ years,OWN,64998.79,Source Verified,other,IL,20.26,2.0,Nov-1996,690.0,2.0,24.0,28.0,1.0,19222.74,72.8,27.0,Individual,0.0,0.0,694.0
Fully Paid,Oct-2016,19500.0,7000.0, 60 months,17.07,238.21,F,A4,3 years,OWN,80236.2,Not Verified,debt_consolidation,TX,19.47,1.0,Sep-2008,775.0,4.0,90.0,20.0,2.0,37734.58,37.7,56.0,Joint App,3.0,0.0,779.0
Fully Paid,May-2013,35000.0,32000.0, 36 months,10.82,254.45,F,D1,5 years,MORTGAGE,82126.73,Not Verified,home_improvement,CA,24.03,1.0,Jul-2006,760.0,4.0,24.0,20.0,2.0,54774.79,97.8,55.0,Joint App,4.0,0.0,764.0
Charged Off,Aug-2012,27500.0,25500.0, 36 months,24.38,1040.67,B,G1,< 1 year,MORTGAGE,84145.47,Not Verified,debt_consolidation,TX,17.5,0.0,Jun-1999,680.0,2.0,17.0,10.0,0.0,21467.74,69.1,41.0,Individual,1.0,1.0,684.0
