Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
938.2319,1.4332145,-1.5307152,0.56331307,-0.5604495,-0.88123846,1.5452322,0.88934624,-0.2556397,-0.041919712,0.1958184,-0.53273565,1.4984202,-0.6617236,-0.5594708,-0.12514558,0.2138097,0.09588296,0.19413626,-0.611688,1.2226915,0.30373183,-0.13527006,-1.081722,1.5201228,-1.0827359,-0.3436323,0.58587164,1.279262,9.860775,1
1272.1414,0.091520175,0.22948171,0.11458444,0.0310472,0.21744041,-0.19562232,0.97475183,-0.35753012,0.4310545,-1.7115394,0.016505176,-0.20659927,-0.3415138,-0.44700947,0.11791267,0.007365938,0.19425215,-2.1540298,-0.042633396,-0.9696576,-0.117447875,-0.18083611,0.37022218,-1.2652,0.7800583,1.5466472,0.32044578,0.25862965,8.227558,0
2125.8057,0.5807771,0.73558307,0.32994354,-0.25206283,-0.035824746,0.25928766,1.3100396,-1.3677539,0.22938766,1.9005402,1.4169444,0.7044117,1.7238939,-1.2220044,-3.0163813,-0.85319215,1.139972,0.20713791,0.13005075,0.00033162526,-0.7877989,-0.96411806,-0.7917368,0.10045927,0.31294134,-0.18476371,-1.056857,-1.41831,6.7872066,0
2408.079,-0.056783196,0.37438646,0.7776095,-0.7859766,-0.10029767,-1.321364,0.87434244,-0.8059178,0.059093334,-1.4387752,0.80748725,-2.4787564,0.66214526,-1.087852,-0.3922536,0.35800242,0.084783286,0.3665588,-0.4190697,0.95451486,-0.9685354,-1.0017388,0.44625077,-0.3995451,-1.2021108,0.05872049,1.2941604,2.3676293,54.36066,0
3082.0535,-0.17040758,0.6319815,-0.8094863,-0.28987563,-0.11432217,-0.4470726,1.0813748,-0.62200755,-0.6410159,0.41949728,0.795872,0.56831133,-0.56030077,0.40352234,0.3382722,0.14628954,1.2772596,1.283762,0.5300592,0.91430414,1.7284654,1.8381485,-1.3751874,-0.2608301,-0.22401452,-1.3885034,0.9444123,-1.2538085,6.5839176,0
3654.208,-0.7794824,-1.4042691,0.87805855,0.19838116,0.10710503,0.21053468,0.73290855,-1.1239718,1.6937662,0.38995993,1.9087903,-0.16135271,-0.06834779,-1.1123319,0.46528986,-0.072586946,-0.11765566,-0.6552311,-0.95344746,0.7948482,0.11396108,1.8743464,-1.1077795,0.305531,0.9314409,-0.36069924,-0.90118563,-0.24292459,53.577225,0
3734.3945,0.43030137,0.33104014,-1.373003,-0.76721704,0.84795874,1.5860038,0.26552865,0.43992397,-1.0504199,0.2756368,-0.70387936,-0.48144004,-0.028313335,0.7402843,0.96235573,-0.06857747,-0.3501368,-2.2420688,-0.9583877,0.30286652,1.1252677,-0.0026471312,0.34390756,-1.2928703,-1.2590325,0.1769914,1.2241108,-1.0373861,38.66089,0
3924.4646,-0.85153717,-0.30261976,0.32836798,-0.8062818,1.3777362,0.22198278,0.089509,1.1966279,0.4276362,-0.49457687,-0.98587495,0.18095995,-0.7679554,-0.6629661,-0.21025775,-0.090010256,-0.66918296,-0.99677074,0.37019545,0.7240033,1.3849069,0.28152362,0.9976691,-1.1072176,-1.0709503,-0.37278572,0.32693842,-1.036002,10.44256,0
3940.3264,0.6655852,-0.48279017,0.17874096,-1.3602434,-0.0022502446,1.3837204,-0.23725972,-0.90806246,-0.32024074,0.8272526,-0.72212225,-0.49582526,-0.76913023,-1.2130338,-0.1656558,-0.36769962,-1.817087,-1.0970651,-1.1686418,1.3730881,-0.41084692,-0.980858,0.50264436,-0.30125117,-0.06949695,-0.48562855,-0.15645531,-0.45215112,131.18797,0
4295.521,1.085287,0.8705556,-0.6162931,0.39072502,0.8153161,0.6407291,-1.2123682,0.28344142,1.7595472,-1.5603675,-0.25450104,-2.123875,1.010524,-0.52780914,-1.3321174,0.13983409,0.27578142,0.7367089,0.72901726,0.4250226,0.42350575,0.64257485,0.85411733,-0.1453756,2.1333308,0.32690963,0.35808006,0.6361502,3.4739397,0
5010.8823,0.3665314,1.4792745,-0.022685274,0.54532325,-0.70176697,1.6274014,-0.95531154,-1.0341111,-0.90348256,-0.065828785,-2.3545506,0.92224795,-0.41978437,0.3367072,-0.20452154,-0.6439142,2.0540004,-2.7167366,-0.014280613,-1.8372023,0.045010775,1.7596492,0.37381855,-1.1259551,-0.6725781,1.5148233,-0.025770796,1.2905314,147.14804,0
5325.075,-0.28624874,1.79437,-0.6225402,0.23166044,0.76595545,-0.05904222,-0.2820145,-0.30492216,-0.7352633,-0.56387466,-0.20742823,0.24301755,-1.0946964,-0.27735326,-1.2615751,2.6568096,0.45823547,-0.44835645,-1.8279092,-0.5285332,-1.1572138,-1.5292308,0.1724961,0.7896477,0.495274,0.14496937,0.54507864,-0.38616818,29.449091,0
6230.851,0.45396557,1.3148079,-1.0717013,0.9651705,-0.7619915,2.3902228,0.24145216,-0.69032955,-0.96981806,-0.67729795,-0.54457074,-0.31394246,-0.043140344,0.03421012,-1.8478701,-1.4093332,0.6867474,1.4257954,0.10949913,0.69637007,-0.18547997,0.4638833,-0.5036933,-0.41756096,0.2601354,1.1441863,0.18731552,-1.0101435,1.6683588,0
6248.627,-0.30867305,-0.109734185,-0.35361475,0.08786764,1.09066,-0.4853962,1.4408126,0.60189563,0.32346505,0.42874777,0.7837598,-0.9661854,0.11800975,0.69620746,-1.0851793,-0.58473605,-0.41303134,0.007212463,-1.6851466,-0.62709594,0.5875066,0.53902227,0.8130018,-0.4218176,-0.5895199,0.62160236,-0.33742607,0.4786393,135.67409,0
6464.5903,0.9355471,0.35272017,-1.1039886,0.39201093,2.210641,-0.76646185,-0.04179723,-0.6787882,-1.3730507,1.0774785,0.35241938,-1.4698576,-1.9727042,1.0824214,1.5086849,-0.50574213,-0.24433339,0.8963168,0.693362,1.6201061,-0.49902925,0.5276065,1.0248792,0.2826588,0.16113335,1.0843533,-2.0258267,0.5079636,64.499344,0
6937.823,-1.8314061,0.7668229,0.32279748,0.30383742,-0.12208389,-1.2100528,1.0034763,1.0116605,-0.4785285,-0.34325576,-0.6006966,0.2238927,-0.040746357,-0.3100953,-0.2705612,2.0404935,0.9846415,-1.6417984,-0.24871433,-0.06317983,-0.3248432,1.6428176,-0.06311569,-0.12890828,-0.44783467,-0.60971993,0.5271825,0.24037634,12.014881,0
7190.596,-0.33560738,0.12117795,-1.1500854,-0.091540016,-2.1925435,2.3310246,1.0793157,-0.24572077,-2.152366,0.7806811,0.5899609,1.613441,0.86797994,-1.044222,0.21987736,-1.3201346,2.0086937,-1.6019895,1.8510842,0.08524877,-0.17336686,2.0360181,-0.116926044,0.8374768,-0.35780478,-0.2069275,-0.3736553,0.27573982,6.3112597,0
7317.8364,-1.990812,0.13076419,0.711977,-0.5308218,-0.54807293,0.8194476,-0.2314468,-0.6496037,0.24042135,0.049740665,0.7232631,0.20316647,0.4512294,0.07609448,-0.5134963,0.4259223,1.487948,1.4372425,1.0713128,1.1247442,2.1115294,-0.23348367,1.5914059,-0.93342257,-1.6612719,-0.20277357,0.7779466,-0.11256645,3.0560398,0
7512.143,-1.4950608,0.8237531,-1.1814791,2.2141526,1.2318752,-0.33412072,0.5946902,-1.2533053,-0.5002149,-0.8927322,-0.7685458,-1.3827616,2.2297952,0.4706496,-1.7905511,0.24839407,0.8052446,0.10121536,-1.0606925,-0.1828499,-1.834049,0.67317367,-0.02042178,-1.3973866,-0.024436235,0.5462772,0.48167506,0.09815086,364.50323,0
7568.9404,1.3638623,-0.059282646,-0.5662949,-0.45195097,0.5530768,1.2490227,-0.24352804,0.25320452,-1.4880568,-0.2579521,-0.49302426,0.22511673,1.2511095,-1.4607253,0.9361131,0.3336023,0.03515058,0.10327436,-2.0207398,0.17627704,0.5016433,0.08423371,0.07568587,-0.30978757,0.8990935,0.7924128,-0.3476642,-0.18165113,6.632234,0
