metric,value
cv_brier_mean,0.020960627978817946
cv_brier_std,0.0038528354544582646
cv_f1_mean,0.9147787277657997
cv_f1_std,0.01583088948040736
cv_logreg_brier_mean,0.09834904474170762
cv_logreg_brier_std,0.005239169864948717
cv_logreg_f1_mean,0.671760609489193
cv_logreg_f1_std,0.01156061983163367
cv_logreg_n_mean,2025.4
cv_logreg_n_std,0.5477225575051661
cv_logreg_positive_rate_mean,0.16065957369017586
cv_logreg_positive_rate_std,0.0002269577828376358
cv_logreg_pr_auc_mean,0.7799888883760856
cv_logreg_pr_auc_std,0.021695252768138648
cv_logreg_precision_at_1pct_mean,0.96
cv_logreg_precision_at_1pct_std,0.04183300132670378
cv_logreg_precision_mean,0.5514075784184107
cv_logreg_precision_std,0.017407423142224814
cv_logreg_recall_at_1pct_fpr_mean,0.41304577630957995
cv_logreg_recall_at_1pct_fpr_std,0.026359396351620802
cv_logreg_recall_mean,0.860454931571496
cv_logreg_recall_std,0.024995785341504307
cv_logreg_roc_auc_mean,0.9366198317741443
cv_logreg_roc_auc_std,0.006820801987195192
cv_logreg_score_std_mean,0.330090136064832
cv_logreg_score_std_std,0.0062658089243233265
cv_n_folds,5.0
cv_n_mean,2025.4
cv_n_std,0.5477225575051661
cv_positive_rate_mean,0.16065957369017586
cv_positive_rate_std,0.0002269577828376358
cv_pr_auc_baseline_mean,0.7799888883760856
cv_pr_auc_baseline_std,0.021695252768138648
cv_pr_auc_delta_mean,0.19346474047045187
cv_pr_auc_delta_std,0.014491262705115991
cv_pr_auc_mean,0.9734536288465374
cv_pr_auc_std,0.007801398706654154
cv_precision_at_1pct_mean,1.0
cv_precision_at_1pct_std,0.0
cv_precision_mean,0.9359143473518581
cv_precision_std,0.016003785765185186
cv_prior_brier_mean,0.13484809825447247
cv_prior_brier_std,0.0001540424568087891
cv_prior_f1_mean,0.0
cv_prior_f1_std,0.0
cv_prior_n_mean,2025.4
cv_prior_n_std,0.5477225575051661
cv_prior_positive_rate_mean,0.16065957369017586
cv_prior_positive_rate_std,0.0002269577828376358
cv_prior_pr_auc_mean,0.16065957369017586
cv_prior_pr_auc_std,0.0002269577828376358
cv_prior_precision_at_1pct_mean,0.16
cv_prior_precision_at_1pct_std,0.09617692030835673
cv_prior_precision_mean,0.0
cv_prior_precision_std,0.0
cv_prior_recall_at_1pct_fpr_mean,0.0
cv_prior_recall_at_1pct_fpr_std,0.0
cv_prior_recall_mean,0.0
cv_prior_recall_std,0.0
cv_prior_roc_auc_mean,0.5
cv_prior_roc_auc_std,0.0
cv_prior_score_std_mean,0.0
cv_prior_score_std_std,0.0
cv_recall_at_1pct_fpr_mean,0.8869183577159037
cv_recall_at_1pct_fpr_std,0.03172593224501609
cv_recall_mean,0.894886267107126
cv_recall_std,0.024311672065285523
cv_roc_auc_mean,0.9939608761069316
cv_roc_auc_std,0.0019445356977965654
cv_score_std_mean,0.3463526283151592
cv_score_std_std,0.0033637841081281205
n_features,23.0
training_time_seconds,11.1
