metric,value
cv_brier_mean,0.00038650345363576893
cv_brier_std,6.0525728661202584e-05
cv_f1_mean,0.8692172827443956
cv_f1_std,0.020985997161330944
cv_logreg_brier_mean,0.02302933038899878
cv_logreg_brier_std,0.0012025874768399334
cv_logreg_f1_mean,0.11815658031914238
cv_logreg_f1_std,0.005973551382532011
cv_logreg_n_mean,56961.4
cv_logreg_n_std,0.5477225575051661
cv_logreg_positive_rate_mean,0.001727485556779042
cv_logreg_positive_rate_std,9.599034695267571e-06
cv_logreg_pr_auc_mean,0.7300047150665883
cv_logreg_pr_auc_std,0.027941961067855285
cv_logreg_precision_at_1pct_mean,0.15263157894736842
cv_logreg_precision_at_1pct_std,0.00496215285043192
cv_logreg_precision_mean,0.06319548594973723
cv_logreg_precision_std,0.0034906920608449915
cv_logreg_recall_at_1pct_fpr_mean,0.8882086167800454
cv_logreg_recall_at_1pct_fpr_std,0.03436655887852594
cv_logreg_recall_mean,0.9105545248402391
cv_logreg_recall_std,0.02634384143864086
cv_logreg_roc_auc_mean,0.9794933758065696
cv_logreg_roc_auc_std,0.008559615231792642
cv_logreg_score_std_mean,0.13524930495642634
cv_logreg_score_std_std,0.004373259907147988
cv_n_folds,5.0
cv_n_mean,56961.4
cv_n_std,0.5477225575051661
cv_positive_rate_mean,0.001727485556779042
cv_positive_rate_std,9.599034695267571e-06
cv_pr_auc_baseline_mean,0.7300047150665883
cv_pr_auc_baseline_std,0.027941961067855285
cv_pr_auc_delta_mean,0.1268693648951679
cv_pr_auc_delta_std,0.03553582342988838
cv_pr_auc_mean,0.856874079961756
cv_pr_auc_std,0.03307789602702308
cv_precision_at_1pct_mean,0.1543859649122807
cv_precision_at_1pct_std,0.004297350425935405
cv_precision_mean,0.9565581780494808
cv_precision_std,0.030595657747345347
cv_prior_brier_mean,0.001724501391894024
cv_prior_brier_std,9.565889231593371e-06
cv_prior_f1_mean,0.0
cv_prior_f1_std,0.0
cv_prior_n_mean,56961.4
cv_prior_n_std,0.5477225575051661
cv_prior_positive_rate_mean,0.001727485556779042
cv_prior_positive_rate_std,9.599034695267571e-06
cv_prior_pr_auc_mean,0.001727485556779042
cv_prior_pr_auc_std,9.599034695267571e-06
cv_prior_precision_at_1pct_mean,0.0014035087719298247
cv_prior_precision_at_1pct_std,0.0014678246079545185
cv_prior_precision_mean,0.0
cv_prior_precision_std,0.0
cv_prior_recall_at_1pct_fpr_mean,0.0
cv_prior_recall_at_1pct_fpr_std,0.0
cv_prior_recall_mean,0.0
cv_prior_recall_std,0.0
cv_prior_roc_auc_mean,0.5
cv_prior_roc_auc_std,0.0
cv_prior_score_std_mean,2.168404344971009e-19
cv_prior_score_std_std,0.0
cv_recall_at_1pct_fpr_mean,0.8963512677798393
cv_recall_at_1pct_fpr_std,0.021906107632697732
cv_recall_mean,0.7967635539064111
cv_recall_std,0.020012791779904712
cv_roc_auc_mean,0.9810408216665362
cv_roc_auc_std,0.00919465637594119
cv_score_std_mean,0.03749547235760806
cv_score_std_std,0.000168750959606857
n_features,29.0
training_time_seconds,67.8
